experiment,scenario,controller,n,delay_bins,service_model,metric,mean,median,ci95_low,ci95_high,seeds,total_seeds
many_server_sensitivity,bursty,gp_mean_mf_mpc,50,1,empirical,mean_response,12220.47959657887,11820.753235382439,10855.32288426209,13978.952853029527,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,50,1,empirical,p95_response,45725.12173316837,42700.713041299095,41522.42198092682,51209.013025738175,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,50,1,empirical,mean_resource_fraction,0.12604166666666666,0.12604166666666666,0.12604166666666666,0.12604166666666666,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,50,1,empirical,slo_violation_fraction,0.5392402420936679,0.5390945708650199,0.5214738593092828,0.556567609340352,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,50,1,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,mean_wait,11946.273011096257,11554.875689261615,10697.742669448795,13408.578020856086,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,p95_wait,50882.05341795914,50053.26519370092,47169.20528018444,55143.07855949646,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,p99_wait,63266.75771059792,61972.386115144895,59091.014236187024,67429.96276280328,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,mean_response,11993.477884981237,11602.056226229615,10744.51674202235,13456.292926637609,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,p95_response,50934.64546027472,50111.25217553425,47231.457906224336,55182.97494015059,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,mean_resource_fraction,0.1171875,0.1171875,0.1171875,0.1171875,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,slo_violation_fraction,0.464021265774874,0.46707833611176086,0.4466183411947703,0.4804093994854308,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,100,1,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,200,1,empirical,mean_wait,9332.872222825972,9487.437601415455,8109.551742499953,10629.968149757584,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,200,1,empirical,p95_wait,51889.09110782755,48580.47435464364,45744.05389176186,58789.70083539573,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,200,1,empirical,p99_wait,79795.94779128247,77076.41905072071,68769.81142907239,92334.40040944084,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,200,1,empirical,mean_response,9384.861859669592,9535.670733037457,8161.668267619445,10681.650634274867,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,200,1,empirical,p95_response,52029.52429095637,48693.84720983001,45911.09916140321,58904.327632626955,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,200,1,empirical,mean_resource_fraction,0.11652777777777779,0.11652777777777779,0.11652777777777779,0.11652777777777779,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,200,1,empirical,slo_violation_fraction,0.36706488503246837,0.3717962434793165,0.34643074660005163,0.3877034699621195,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,200,1,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,50,1,empirical,mean_wait,14130.083288925813,13930.59257719948,12982.164922455177,15406.442649216555,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,50,1,empirical,p95_wait,51211.701321860826,50909.683596355484,47305.65097553537,55461.477866430025,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,50,1,empirical,p99_wait,62266.88633922326,61670.57627046132,56963.03794535652,67980.33270376301,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,50,1,empirical,mean_response,14171.247210804922,13972.11922046855,13022.851502248368,15447.710229918604,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,50,1,empirical,p95_response,51259.53556510913,50970.390326992165,47369.59282920411,55502.91413836939,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,50,1,empirical,mean_resource_fraction,0.13229166666666667,0.13229166666666667,0.13229166666666667,0.13229166666666667,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,50,1,empirical,slo_violation_fraction,0.5526762900923975,0.5563354919738699,0.5423455130471533,0.5617367532459986,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,50,1,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,mean_wait,11534.66430843165,10578.136968980538,9746.761431094366,13409.092114603218,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,p95_wait,51358.99577082803,49573.78306224958,47381.839898379934,55990.18099900294,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,p99_wait,67069.10244409055,67570.28147382103,63546.19294497724,70842.52793801262,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,mean_response,11581.86918231663,10623.888816722743,9793.593262255336,13456.852723115642,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,p95_response,51412.18019475242,49629.874777787634,47436.10419823459,56031.90261391203,10,10
many_server_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,mean_resource_fraction,0.12371527777777777,0.12371527777777779,0.12371527777777777,0.12371527777777777,10,10
